"","CountryCode","Rank","Country","USD"
"168","BTN",167,"Bhutan",1780
"169","LBR",168,"Liberia",1734
"170","BLZ",169,"Belize",1493
"171","TMP",170,"Timor-Leste",1293
"172","LCA",171,"St. Lucia",1239
"173","ATG",172,"Antigua and Barbuda",1134
"174","SYC",173,"Seychelles",1129
"175","SLB",174,"Solomon Islands",1008
"176","GMB",175,"Gambia, The",917
"177","GNB",176,"Guinea-Bissau",822
"178","VUT",177,"Vanuatu",787
"179","GRD",178,"Grenada",767
"180","KNA",178,"St. Kitts and Nevis",767
"181","VCT",180,"St. Vincent and the Grenadines",713
"182","WSM",181,"Samoa",684
"183","COM",182,"Comoros",596
"184","DMA",183,"Dominica",480
"185","TON",184,"Tonga",472
"186","FSM",185,"Micronesia, Fed. Sts.",326
"187","STP",186,"São Tomé and Principe",263
"188","PLW",187,"Palau",228
"189","MHL",188,"Marshall Islands",182
"190","KIR",189,"Kiribati",175
"191","TUV",190,"Tuvalu",40
